!Women Art Revolution (2010)   3 stars, 1hr 22m  imdbClosed Captions: English
#1 Cheerleader Camp (2010)   3 stars, 1hr 35m  imdbClosed Captions: English Available in HD on your TV
A Wednesday (2008)   3.9 stars, 1hr 39m  imdbClosed Captions: English
A Week Alone (2007)   2.4 stars, 1hr 50m  imdbClosed Captions: English
A Wink and a Smile: The Art of Burlesque (2008)   3.2 stars, 1hr 29m  imdbClosed Captions: English Available in HD on your TV
A Woman in Berlin (2008)   3.6 stars, 2hr 6m  imdbClosed Captions: English
A Woman Is a Woman (1961)   3.5 stars, 1hr 23m  imdbClosed Captions: English
A Woman Possessed (1958)   3.2 stars, 1hr 7m  imdbClosed Captions: English
A World Without Thieves (2004)   3.6 stars, 1hr 50m  imdbClosed Captions: English
A Wrinkle in Time (2003)   3.4 stars, 2hr 8m  imdbClosed Captions: English
A Yank in the R.A.F. (1941)   3.1 stars, 1hr 37m  imdbClosed Captions: English
A Year of the Quiet Sun (1985)   3 stars, 1hr 49m  imdbClosed Captions: English
A.K.A. Cassius Clay (2001)   3.8 stars, 1hr 18m  imdbClosed Captions: English
A.N.T. Farm (2011)   4.1 stars, 1 Season  imdbClosed Captions: English Available in HD on your TV
Aaah! Zombies!! (2007)   3 stars, 1hr 31m  imdbClosed Captions: English
Aaahh!!! Real Monsters (1994-1997)   3.9 stars, 4 Seasons  imdbClosed Captions: English
Aagey Se Right (2009)   2.8 stars, 1hr 57m  imdbClosed Captions: English
Aaina (1993)   3.2 stars, 2hr 22m  imdbClosed Captions: English
Aaja Nachle (2007)   3.6 stars, 2hr 17m  imdbClosed Captions: English
Aaltra (2004)   2.8 stars, 1hr 29m  imdbClosed Captions: English
Aaron Slick from Punkin Crick (1952)   2.6 stars, 1hr 35m  imdbClosed Captions: English
Ab-Normal Beauty (2004)   3 stars, 1hr 37m  imdbClosed Captions: English
Abbott & Costello Meet Frankenstein (1948)   3.7 stars, 1hr 22m  imdbClosed Captions: English Available in HD on your TV
Abbott & Costello Meet the Mummy (1955)   3.6 stars, 1hr 19m  imdbClosed Captions: English
Abduction (2009)   2.2 stars, 1hr 45m  imdbClosed Captions: English Available in HD on your TV
Abduction (2011)   3.7 stars, 1hr 45m  imdbClosed Captions: English Available in HD on your TV
Abel Raises Cain (2005)   3.5 stars, 1hr 22m  imdbClosed Captions: English
Abelar: Tales of an Ancient Empire (2010)   2.3 stars, 1hr 29m  imdbClosed Captions: English,Spanish Available in HD on your TV
Aberration (1997)   2.9 stars, 1hr 32m  imdbClosed Captions: English
Abohomaan (2009)   , 1hr 58m  imdbClosed Captions: English
About Fifty (2011)   2.9 stars, 1hr 20m  imdbClosed Captions: English Available in HD on your TV
About Mrs. Leslie (1954)   3.4 stars, 1hr 44m  imdbClosed Captions: English
Abraham Lincoln vs. Zombies (2012)   2.7 stars, 1hr 36m  imdbClosed Captions: English Available in HD on your TV
Absent (2010)   3.5 stars, 1hr 29m  imdbAvailable in HD on your TV
Absentia (2011)   3.2 stars, 1hr 31m  imdbClosed Captions: English Available in HD on your TV
Absinthe (2010)   3.4 stars, 1hr 9m  imdb
Absolute Beginners (1986)   2.8 stars, 1hr 47m  imdbClosed Captions: English Available in HD on your TV
Absolute Strangers (1991)   3.5 stars, 1hr 32m  imdbClosed Captions: English
Absolute Wilson (2006)   3.5 stars, 1hr 44m  imdb
Absolute Zero (2005)   3.2 stars, 1hr 30m  imdbClosed Captions: English
Absurdistan (2008)   3.3 stars, 1hr 24m  imdbClosed Captions: English
Accident (2009)   3.2 stars, 1hr 26m  imdbClosed Captions: English Available in HD on your TV
Accidentally on Purpose (2009)   3.9 stars, 1 Season  imdbClosed Captions: English Available in HD on your TV
Accidents (1988)   2.5 stars, 1hr 29m  imdbClosed Captions: English
Accidents Happen (2009)   3.1 stars, 1hr 32m  imdbClosed Captions: English Available in HD on your TV
According to Spencer (2001)   2.7 stars, 1hr 34m  imdbClosed Captions: English Available in HD on your TV
Accused (2010)   3.6 stars, 1 Season  imdbClosed Captions: English Available in HD on your TV
Accused Of Murder (1956)   2.6 stars, 1hr 13m  imdbClosed Captions: English
Ace High (1968)   3.4 stars, 2hr 2m  imdbClosed Captions: English
Aces High (1976)   3.4 stars, 1hr 48m  imdbClosed Captions: English
Acolytes (2008)   2.9 stars, 1hr 31m  imdbClosed Captions: English Available in HD on your TV
Across 110th Street (1972)   3.4 stars, 1hr 41m  imdbClosed Captions: English Available in HD on your TV
Act of Valor (2012)   3.9 stars, 1hr 50m  imdbClosed Captions: English Available in HD on your TV
Act of Vengeance (1974)   2.8 stars, 1hr 30m  imdbClosed Captions: English
Acts of Worship (2001)   3.1 stars, 1hr 34m  imdbClosed Captions: English
Adam's Apples (2005)   3.6 stars, 1hr 30m  imdbClosed Captions: English
Adam: His Song Continues (1986)   3.7 stars, 1hr 35m  imdbClosed Captions: English
Adam and Evalyne (1949)   3.5 stars, 1hr 32m  imdbClosed Captions: English
Adam Ferrara: Funny As Hell (2009)   3.6 stars, 1hr 5m  imdbClosed Captions: English Available in HD on your TV
Adam-12 (1968-1974)   3.7 stars, 7 Seasons  imdbClosed Captions: English
Adaptation. (2002)   3.4 stars, 1hr 54m  imdbAvailable in HD on your TV
Addicted (2010)   3.6 stars, 1 Season  imdbClosed Captions: English Available in HD on your TV
Adolf Hitler: My Part in His Downfall (1972)   2.7 stars, 1hr 42m  imdbClosed Captions: English
Adopt a Sailor (2008)   3.2 stars, 1hr 24m  imdbClosed Captions: English
Adopted (2009)   2.7 stars, 1hr 25m  imdbClosed Captions: English Available in HD on your TV
Adrenalin: Fear the Rush (1996)   2.8 stars, 1hr 16m  imdbClosed Captions: English Available in HD on your TV
Adrift (2009)   3.4 stars, 1hr 42m  imdbClosed Captions: English Available in HD on your TV
Adult Entertainment: Disrobing an American Idol (2010)   2.5 stars, 1hr 46m  imdbClosed Captions: English
Adventureland (2008)   3.3 stars, 1hr 46m  imdbAvailable in HD on your TV
Adventures in Lalaloopsy Land (2012)   3.3 stars, 1hr 15m  imdbClosed Captions: English Available in HD on your TV
Adventures in Pornoland (2008)   2.4 stars, 1hr 17m  imdbClosed Captions: English
Adventures of a Teenage Dragonslayer (2010)   3.1 stars, 1hr 32m  imdbClosed Captions: English Available in HD on your TV
Adventures of Bailey: The Lost Puppy (2010)   3.7 stars, 1hr 29m  imdbClosed Captions: English
Adventures of Power (2008)   3.1 stars, 1hr 29m  imdbClosed Captions: English Available in HD on your TV
Adventures of Thunderstorm: Return of Thor (2011)   1.9 stars, 1hr 25m  imdbClosed Captions: English Available in HD on your TV
Advise & Dissent (2009)   , 1hr 26m  imdbClosed Captions: English
Aeon Flux (2005)   3.4 stars, 1hr 32m  imdbClosed Captions: English Available in HD on your TV
Aesop's Theater (2007)   2.9 stars, 8 Episodes  imdbClosed Captions: English
Affliction (1998)   3.2 stars, 1hr 54m  imdbClosed Captions: English
Afghan Knights (2007)   2.8 stars, 1hr 42m  imdbClosed Captions: English
Afghan Star (2009)   3.5 stars, 1hr 28m  imdbClosed Captions: English Available in HD on your TV
Africa's Lost Eden (2010)   3.9 stars, 50m  imdbAvailable in HD on your TV
Africa: Texas Style! (1967)   3.1 stars, 1hr 49m  imdbClosed Captions: English
Africa First: Volume One (2010)   2.5 stars, 2hr 2m  imdbClosed Captions: English Available in HD on your TV
African American Lives (2008)   4 stars, 1 Part  imdb
Afro Samurai (2007)   4 stars, 1 Season  imdb
Afro Samurai: Resurrection (2009)   4 stars, 1hr 40m  imdbClosed Captions: English Available in HD on your TV
After Image (2001)   2.6 stars, 1hr 32m  imdbClosed Captions: English Available in HD on your TV
After Innocence (2005)   3.7 stars, 1hr 35m  imdb
After Midnight (1989)   2.9 stars, 1hr 32m  imdbClosed Captions: English
After Sex (2000)   2.4 stars, 1hr 36m  imdbClosed Captions: English
After Stonewall (1999)   3.7 stars, 1hr 26m  imdbClosed Captions: English
After the Attack (2008)   3.5 stars, 1 Season  imdbClosed Captions: English Available in HD on your TV
After the Catch (2007)   4 stars, 1 Season  imdbClosed Captions: English
After the Storm (2000)   3.1 stars, 1hr 43m  imdbClosed Captions: English
After the Wall: A World United (2011)   3.8 stars, 55m  imdb
After the Wedding (2006)   3.8 stars, 2hr 4m  imdbClosed Captions: English Available in HD on your TV
Afterlife (2011)   3.7 stars, 1hr  imdbClosed Captions: English Available in HD on your TV
Aftermath (1990)   3.5 stars, 1hr 31m  imdbClosed Captions: English
Afterschool (2008)   2.7 stars, 1hr 46m  imdbClosed Captions: English Available in HD on your TV
Aftershock (2010)   4.1 stars, 2hr 15m  imdbClosed Captions: English Available in HD on your TV
Aftershock: Beyond the Civil War (2007)   3.7 stars, 1hr 29m  imdbClosed Captions: English
Afterworld (2007)   2.8 stars, 1 Season  imdbClosed Captions: English
Against the Current (2009)   2.9 stars, 1hr 38m  imdbAvailable in HD on your TV
Against the Dark (2009)   2.7 stars, 1hr 33m  imdbClosed Captions: English Available in HD on your TV
Against the Wall (2006)   3.3 stars, 1hr 24m  imdbClosed Captions: English
Agata and the Storm (2004)   3.2 stars, 2hr  imdbClosed Captions: English
Agatha Christie's Endless Night (1972)   2.9 stars, 1hr 35m  imdbClosed Captions: English
Agatha Christie's Evil Under the Sun (1982)   3.7 stars, 1hr 56m  imdbClosed Captions: English Available in HD on your TV
Agatha Christie's Poirot (1989-1995)   4.2 stars, 6 Series  imdbClosed Captions: English Available in HD on your TV
Agatha Christie's Seven Dials Mystery (1981)   3.3 stars, 2hr 11m  imdbClosed Captions: English
Agatha Christie's The Mirror Crack'd (1980)   3.5 stars, 1hr 45m  imdbClosed Captions: English
Agatha Christie's Tommy & Tuppence: Partners in Crime (1983)   3.6 stars, 1 Series  imdbClosed Captions: English
Age of Heroes (2011)   3.1 stars, 1hr 33m  imdbAvailable in HD on your TV
Agent Cody Banks (2003)   3.2 stars, 1hr 42m  imdbClosed Captions: English Available in HD on your TV
Agnes and His Brothers (2004)   2.8 stars, 1hr 51m  imdbClosed Captions: English
Agnes Browne (1999)   3.5 stars, 1hr 32m  imdb
Ah! My Goddess (2005-2006)   3.8 stars, 2 Seasons  imdbAvailable in HD on your TV
Aileen: Life and Death of a Serial Killer (2003)   3.5 stars, 1hr 29m  imdbClosed Captions: English
Aileen Wuornos: The Selling of a Serial Killer (1992)   3.5 stars, 1hr 23m  imdbClosed Captions: English
Aimee and Jaguar (1998)   3.5 stars, 2hr 1m  imdbClosed Captions: English
Air Collision (2012)   3.1 stars, 1hr 32m  imdbAvailable in HD on your TV
Air Gear (2006)   4.1 stars, 26 Episodes  imdb
Air Strike (1955)   3 stars, 1hr 3m  imdbClosed Captions: English
Airline Disaster (2010)   2.9 stars, 1hr 29m  imdbAvailable in HD on your TV
Airwolf (1984-1987)   3.6 stars, 4 Seasons  imdbClosed Captions: English
Aisha (2010)   3.3 stars, 2hr 6m  imdbClosed Captions: English
Aisha Tyler Is Lit: Live at the Fillmore (2008)   3.4 stars, 1hr 24m  imdbClosed Captions: English
Ajami (2009)   3.4 stars, 2hr 5m  imdbClosed Captions: English
Alabama Love Story (2004)   3.2 stars, 1hr 35m  imdbClosed Captions: English
Alabama Moon (2009)   3.8 stars, 1hr 39m  imdbClosed Captions: English Available in HD on your TV
Aladdin: Magic Reader Classics (2011)   2 stars, 1hr 21m  imdbClosed Captions: English Available in HD on your TV
Alakazam the Great (1960)   2.6 stars, 1hr 24m  imdbClosed Captions: English
Alamar (2009)   3.5 stars, 1hr 13m  imdbClosed Captions: English Available in HD on your TV
Alarm (2008)   2.9 stars, 1hr 44m  imdbClosed Captions: English Available in HD on your TV
Alaska Seas (1954)   2.9 stars, 1hr 17m  imdbClosed Captions: English
Albatross (2011)   3.3 stars, 1hr 30m  imdbAvailable in HD on your TV
Albert Fish (2007)   3 stars, 1hr 26m  imdbClosed Captions: English
Albert Nobbs (2011)   3.4 stars, 1hr 53m  imdbClosed Captions: English Available in HD on your TV
Albino Alligator (1996)   3 stars, 1hr 34m  imdbClosed Captions: English Available in HD on your TV
Alex Grey: The Chapel of Sacred Mirrors: CoSM: the Movie (2006)   3.7 stars, 1hr 17m  imdb
Alex Reymundo: Red-Nexican (2009)   3.6 stars, 1hr  imdbClosed Captions: English
Alexander Graham Bell: Voice of Invention (1996)   3.8 stars, 46m  imdbClosed Captions: English
Alexander the Great (1956)   3.3 stars, 2hr 15m  imdbClosed Captions: English Available in HD on your TV
Alexander the Last (2009)   2.5 stars, 1hr 12m  imdbClosed Captions: English Available in HD on your TV
Alexandra's Project (2003)   3 stars, 1hr 38m  imdb
Alfie (2004)   2.9 stars, 1hr 45m  imdbClosed Captions: English Available in HD on your TV
Alfred Hitchcock Presents (1955-1957)   3.9 stars, 3 Seasons  imdbClosed Captions: English
Ali G Indahouse (2002)   3.2 stars, 1hr 23m  imdb
Alias (2001-2005)   4 stars, 5 Seasons  imdbClosed Captions: English Available in HD on your TV
Alias Billy the Kid (1946)   3 stars, 53m  imdbClosed Captions: English
Alias Jesse James (1959)   3.5 stars, 1hr 32m  imdbClosed Captions: English
Alice (1990)   3.2 stars, 1hr 46m  imdbClosed Captions: English Available in HD on your TV
Alice (2009)   4.1 stars, 2 Episodes  imdbClosed Captions: English Available in HD on your TV
Alice (1988)   3 stars, 1hr 26m  imdbClosed Captions: English
Alice's Adventures in Wonderland: Magic Reader Classics (2011)   2.1 stars, 1hr 10m  imdbClosed Captions: English Available in HD on your TV
Alice's Restaurant (1969)   3.2 stars, 1hr 50m  imdbClosed Captions: English Available in HD on your TV
Alice Cooper: Brutally Live (2000)   3.4 stars, 1hr 36m  imdbClosed Captions: English
Alice Cooper: Live at Montreux 2005 (2005)   3.5 stars, 1hr 33m  imdbClosed Captions: English Available in HD on your TV
Alice in Wonderland (1999)   3.3 stars, 2hr 13m  imdbClosed Captions: English
Alice Through the Looking Glass (1998)   3 stars, 1hr 23m  imdbClosed Captions: English
Alicia Keys: Diary of Alicia (2004)   3.3 stars, 1hr  imdb
Alien Abduction (2005)   2.5 stars, 1hr 36m  imdb
Alien Armageddon (2011)   2.3 stars, 1hr 36m  imdbClosed Captions: English Available in HD on your TV
Alien Opponent (2010)   2.7 stars, 1hr 31m  imdbAvailable in HD on your TV
Alien Origin (2012)   2.4 stars, 1hr 28m  imdbClosed Captions: English Available in HD on your TV
Alien Tracker (2003)   2.9 stars, 1hr 32m  imdbClosed Captions: English
Alien Visitor (1995)   3.1 stars, 1hr 31m  imdbClosed Captions: English Available in HD on your TV
Alien vs. Hunter (2007)   2.2 stars, 1hr 24m  imdbAvailable in HD on your TV
Alien vs. Ninja (2010)   2.6 stars, 1hr 21m  imdbAvailable in HD on your TV
Alila (2004)   2.5 stars, 1hr 56m  imdbClosed Captions: English
Alive! Is Michael Jackson Really Dead? (2010)   2.8 stars, 52m  imdbClosed Captions: English
All's Faire in Love (2009)   3.2 stars, 1hr 47m  imdbClosed Captions: English Available in HD on your TV
All About Airplanes (2008)   3.3 stars, 25m  imdb
All About Big Red Engines (1995)   3.2 stars, 26m  imdb
All About Boats & Ships (1995)   3.2 stars, 33m  imdb
All About Construction (1995)   3.2 stars, 59m  imdb
All About Helicopters (1995)   3.1 stars, 35m  imdb [Closed Captions: <a href=] English" alt="Closed Captions: English" id="BLOGGER_PHOTO_ID_5773674322639309762" />
All About Monster Trucks (1995)   3.1 stars, 25m  imdb [Closed Captions: <a href=] English" alt="Closed Captions: English" id="BLOGGER_PHOTO_ID_5773674322639309762" />
All About Old MacDonald's Farm (1995)   3.1 stars, 26m  imdb
All About Trucks (1995)   3.2 stars, 31m  imdb [Closed Captions: <a href=] English" alt="Closed Captions: English" id="BLOGGER_PHOTO_ID_5773674322639309762" />
All About Us (2007)   3.1 stars, 1hr 30m  imdbClosed Captions: English
All About You (2001)   3.5 stars, 1hr 40m  imdbClosed Captions: English
All Dogs Go to Heaven (1989)   3.7 stars, 1hr 24m  imdbClosed Captions: English
All Dogs Go to Heaven 2 (1996)   3.5 stars, 1hr 22m  imdbClosed Captions: English Available in HD on your TV
All Good Things (2010)   3.3 stars, 1hr 40m  imdbClosed Captions: English Available in HD on your TV
All Grown Up! (2003-2007)   3.7 stars, 5 Seasons  imdbClosed Captions: English
All I Want for Christmas (2007)   3.7 stars, 1hr 26m  imdbClosed Captions: English
All I Want for Christmas (1991)   3.8 stars, 1hr 32m  imdbClosed Captions: English Available in HD on your TV
All My Friends Are Funeral Singers (2010)   3 stars, 1hr 22m  imdbClosed Captions: English Available in HD on your TV
All Night Bodega (2002)   2.6 stars,   imdb
All Night Long (1962)   2.5 stars, 1hr 31m  imdbClosed Captions: English
All on the Line (2011)   3.6 stars, 2 Seasons  imdbClosed Captions: English Available in HD on your TV
All Over the Town (1949)   2.3 stars, 1hr 28m  imdbClosed Captions: English
All She Wants for Christmas (2006)   3.4 stars, 1hr 34m  imdb
All the Days Before Tomorrow (2006)   2.9 stars, 1hr 40m  imdbClosed Captions: English Available in HD on your TV
All Things Fall Apart (2011)   4 stars, 1hr 50m  imdbClosed Captions: English Available in HD on your TV
Allan Quatermain and the Temple of Skulls (2008)   2.6 stars, 1hr 38m  imdbClosed Captions: English Available in HD on your TV
Alleged (2010)   2.7 stars, 1hr 33m  imdbClosed Captions: English Available in HD on your TV
Alligator Kingdom (2010)   , 28m  imdbAvailable in HD on your TV
Alligator X (2010)   3.1 stars, 1hr 32m  imdbClosed Captions: English Available in HD on your TV
Allosaurus: A Walking with Dinosaurs Special (2001)   3.7 stars, 29m  imdb
